ObservationID	Count
49	0
50	0
51	0
52	0
53	2
54	2
55	0
56	0
57	0
58	0
59	2
60	2
91	0
92	1
93	0
94	0
95	0
96	0
97	0
98	0
99	2
100	1
101	0
102	0
151	2
152	2
153	0
154	0
155	1
156	0
157	2
158	0
159	0
160	0
161	0
162	1
163	1
164	0
165	0
166	0
167	1
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	1
207	0
208	0
209	0
210	0
211	0
212	1
213	0
214	0
215	0
216	0
217	1
218	0
219	0
220	0
221	0
222	0
241	1
242	0
243	0
244	0
245	0
246	0
295	0
296	0
297	0
298	0
299	0
300	1
313	0
314	0
315	0
316	0
317	0
318	3
331	0
332	0
333	0
334	0
335	0
336	1
409	0
410	0
411	0
412	1
413	0
414	2
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	1
426	0
427	1
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
487	1
488	0
489	0
490	0
491	0
492	0
493	1
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	1
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	1
541	0
542	0
543	0
544	0
545	0
546	0
613	0
614	1
615	0
616	0
617	0
618	0
619	0
620	4
621	0
622	0
623	1
624	0
625	0
626	0
627	0
628	0
629	0
630	0
643	0
644	0
645	0
646	0
647	1
648	1
649	0
650	0
651	0
652	0
653	0
654	0
655	0
656	0
657	0
658	0
659	1
660	0
673	0
674	0
675	0
676	0
677	0
678	0
679	0
680	0
681	0
682	0
683	0
684	0
709	0
710	0
711	0
712	0
713	0
714	3
715	0
716	0
717	0
718	0
719	0
720	0
721	1
722	0
723	0
724	1
725	0
726	0
727	3
728	0
729	1
730	0
731	1
732	0
781	6
782	0
783	0
784	1
785	2
786	1
817	0
818	0
819	0
820	0
821	0
822	0
823	0
824	0
825	0
826	0
827	0
828	0
829	0
830	0
831	2
832	0
833	0
834	0
1027	0
1028	1
1029	0
1030	1
1031	0
1032	1
1033	0
1034	0
1035	0
1036	0
1037	0
1038	0
1045	2
1046	0
1047	0
1048	1
1049	2
1050	1
1051	0
1052	0
1053	1
1054	0
1055	0
1056	0
1081	0
1082	0
1083	0
1084	1
